Region,Season,Production Volume (Tonnes),Cultivated Area (Hectares),Yield (kg/ha),Irrigation Coverage (%),Seed Type,Fertilizer Usage (kg/ha),Pesticide Usage (L/ha),Storage Availability,Rainfall (mm),Temperature (°C),Humidity (%),Labor Availability,Wholesale Price (₹/kg),Retail Price (₹/kg),Domestic Consumption (Tonnes),Export Volume (Tonnes),Processing Demand (Tonnes),Transportation Cost (₹/tonne)
Madhya Pradesh,Kharif,16548,2614,6464,75,Non-Hybrid,258,6,General,119,27,68,132,18,20,320355,5063,10100,1094
Uttar Pradesh,Kharif,17206,2221,7934,84,Hybrid,224,6,Cold,153,29,61,100,19,29,264781,6970,11465,1149
West Bengal,Kharif,18468,2400,7774,88,Hybrid,281,4,Cold,133,25,74,126,13,22,313300,6561,8704,1076
Rajasthan,Kharif,15089,2419,6048,75,Hybrid,257,6,General,133,24,63,128,18,24,299559,9737,11957,1089
Gujarat,Kharif,13214,2872,7703,64,Non-Hybrid,308,5,General,139,25,52,167,17,23,367135,10812,9687,1173
Madhya Pradesh,Rabi,19739,2188,6274,74,Hybrid,258,4,General,82,30,53,146,15,24,297305,11546,11521,1163
Madhya Pradesh,Rabi,12849,2630,7830,67,Non-Hybrid,202,4,Cold,139,26,70,113,17,30,373161,9297,11908,1098
Andhra Pradesh,Rabi,14849,1244,6273,63,Non-Hybrid,256,7,Cold,111,27,62,171,16,27,395313,5423,13652,1048
Rajasthan,Kharif,24434,1866,7209,66,Non-Hybrid,235,6,Cold,106,25,51,106,14,29,326897,10207,12320,1052
Gujarat,Kharif,16281,2844,7215,70,Non-Hybrid,206,4,Cold,142,30,57,105,13,20,377349,5743,11863,1042
Gujarat,Kharif,19115,1441,7706,72,Non-Hybrid,257,5,General,137,27,53,124,15,26,295746,6920,11642,1144
Gujarat,Rabi,20728,1591,6157,69,Hybrid,255,4,General,144,30,62,171,13,26,320803,9354,13238,993
West Bengal,Rabi,17642,2339,7128,77,Hybrid,215,6,Cold,105,25,71,123,14,21,313820,6890,12703,976
Uttar Pradesh,Kharif,22470,1777,7133,93,Non-Hybrid,233,4,Cold,135,30,57,191,12,24,332589,9522,13852,1119
Maharashtra,Kharif,17263,2293,6579,67,Hybrid,277,5,Cold,108,28,53,121,14,30,302891,6111,11370,975
Uttar Pradesh,Kharif,16344,2895,7321,91,Non-Hybrid,312,6,General,151,29,55,176,12,30,350684,5796,10061,1003
Madhya Pradesh,Kharif,17875,2750,7257,81,Hybrid,248,4,Cold,147,29,53,128,20,22,282819,5491,9423,1132
Tamil Nadu,Kharif,21109,2190,6630,74,Hybrid,279,6,General,130,28,74,168,13,26,320902,6583,11998,1168
Karnataka,Rabi,24772,2048,8290,80,Hybrid,314,6,Cold,120,24,50,188,20,30,305747,10713,14991,908
Karnataka,Rabi,10629,1219,8250,60,Hybrid,223,4,Cold,98,27,53,100,19,20,314588,7964,11535,1062
Madhya Pradesh,Kharif,10996,2826,6600,73,Hybrid,293,7,Cold,170,28,59,188,13,28,371394,11897,11664,980
Uttar Pradesh,Rabi,19913,1812,6306,70,Hybrid,297,6,General,113,28,63,122,16,21,303296,6478,10760,956
Punjab,Rabi,18941,2282,7484,71,Hybrid,212,7,Cold,162,26,57,155,19,22,390047,6851,13226,1020
Punjab,Kharif,13705,1581,7418,72,Hybrid,302,4,General,132,28,52,164,18,25,364410,5992,14539,918
Tamil Nadu,Kharif,12259,2860,8120,66,Non-Hybrid,274,5,Cold,145,24,62,191,18,27,390771,7704,12420,1018
Uttar Pradesh,Rabi,12150,2368,7868,92,Non-Hybrid,221,4,Cold,168,27,57,197,20,26,250308,9866,11132,1059
Madhya Pradesh,Kharif,24997,1721,6497,61,Non-Hybrid,253,4,Cold,99,24,70,177,18,20,337710,6019,13826,1114
Tamil Nadu,Kharif,14781,2513,7966,69,Hybrid,292,5,Cold,140,24,61,129,18,29,383176,5763,12232,1125
Maharashtra,Rabi,19745,2571,6244,63,Non-Hybrid,307,6,General,178,29,63,146,17,23,288646,9090,8666,1001
Karnataka,Kharif,22650,1765,7988,63,Hybrid,266,4,General,142,24,63,186,20,27,380112,7546,13493,991
Rajasthan,Rabi,15679,1923,7170,94,Hybrid,277,7,General,152,29,62,118,19,30,327350,11157,12880,1055
Tamil Nadu,Kharif,15311,1354,7850,93,Hybrid,265,6,Cold,145,26,62,145,19,28,275816,8802,12794,964
Punjab,Kharif,22677,2340,7871,87,Hybrid,250,5,Cold,114,24,51,153,15,28,294807,10861,10476,979
Rajasthan,Rabi,14416,1972,7848,65,Hybrid,263,6,Cold,81,29,51,120,15,26,315771,11114,11721,900
Andhra Pradesh,Rabi,10759,1579,7039,67,Non-Hybrid,315,5,Cold,155,30,50,173,18,21,355744,10952,11379,1182
Andhra Pradesh,Rabi,18248,2737,7329,64,Non-Hybrid,245,6,General,123,29,56,131,12,21,278260,8556,13568,1128
Madhya Pradesh,Kharif,22141,1677,7581,89,Hybrid,302,6,General,122,29,60,158,15,27,254712,6781,13573,1122
Rajasthan,Kharif,23804,1744,6865,72,Hybrid,283,5,Cold,175,26,61,193,12,21,376420,9594,11657,956
Uttar Pradesh,Kharif,17900,1226,7820,74,Non-Hybrid,307,6,Cold,177,24,52,102,14,27,280079,5772,10256,1176
Rajasthan,Rabi,11969,1559,7501,81,Hybrid,320,7,Cold,136,26,62,103,16,23,324768,5278,9840,994
Maharashtra,Kharif,11675,1690,8267,70,Non-Hybrid,289,7,General,180,29,69,145,20,26,343245,11579,14819,911
Madhya Pradesh,Kharif,22214,1821,6433,84,Hybrid,320,5,General,153,24,52,185,14,29,281497,10272,11131,986
Maharashtra,Kharif,11870,1567,6022,77,Hybrid,214,5,General,96,24,73,171,18,25,313586,11456,12491,1013
Uttar Pradesh,Kharif,16690,1562,7341,64,Non-Hybrid,203,6,General,145,28,50,162,12,21,355664,11649,14926,1114
Gujarat,Rabi,10394,2449,6039,60,Hybrid,213,7,General,150,29,58,127,20,27,393753,10123,14030,1191
West Bengal,Kharif,23679,1365,7998,75,Non-Hybrid,308,7,General,87,24,56,159,16,28,252492,9460,8023,1192
Gujarat,Rabi,15914,1886,8050,72,Non-Hybrid,305,4,General,124,28,69,134,17,22,391730,6064,12004,1102
Rajasthan,Kharif,21422,2364,6216,88,Non-Hybrid,248,4,General,132,27,66,185,20,25,383723,7456,12217,905
Karnataka,Rabi,12533,2585,7098,76,Hybrid,313,4,General,90,24,71,195,12,20,345352,10649,14663,904
Karnataka,Kharif,24919,1845,7968,93,Non-Hybrid,309,4,General,123,25,64,106,15,30,274450,5447,13195,1032
West Bengal,Kharif,12659,1863,7154,69,Non-Hybrid,244,6,Cold,108,27,55,154,14,25,339584,10891,13507,991
Gujarat,Rabi,24407,1322,7627,66,Non-Hybrid,309,7,General,135,27,73,108,19,27,273209,11864,9411,1189
Maharashtra,Rabi,12868,1394,6746,86,Hybrid,306,7,General,175,26,74,106,16,29,309465,8696,11412,1005
Gujarat,Kharif,18008,1768,6154,68,Hybrid,240,7,General,87,24,66,162,16,24,338382,5528,13128,973
Rajasthan,Kharif,12245,2335,8212,90,Hybrid,277,6,Cold,143,28,68,105,17,30,285633,11676,8919,1112
Rajasthan,Rabi,13413,1978,6135,76,Hybrid,253,7,General,180,24,72,125,17,28,288250,5485,12742,1106
West Bengal,Rabi,10186,1549,6538,90,Hybrid,201,6,General,126,27,72,126,20,28,263764,8188,8856,1080
Karnataka,Kharif,24297,1474,6436,68,Non-Hybrid,235,6,Cold,126,25,63,184,12,22,384275,7277,11425,1093
Uttar Pradesh,Kharif,16029,1265,7598,93,Hybrid,204,5,General,125,27,60,186,20,30,388830,8263,11823,1191
Madhya Pradesh,Kharif,12486,1210,6163,93,Non-Hybrid,313,5,General,180,30,50,173,16,26,386992,7569,12321,1175
Gujarat,Rabi,17036,2482,7637,90,Hybrid,288,5,General,108,30,69,150,13,28,398551,8983,11837,925
Rajasthan,Kharif,14323,1576,7519,80,Hybrid,286,5,Cold,80,29,70,141,18,22,329638,9036,13268,927
Rajasthan,Rabi,21020,1711,7566,68,Hybrid,262,5,General,153,27,72,188,16,29,333039,10739,10185,1096
Gujarat,Kharif,18677,1950,6116,93,Non-Hybrid,271,7,Cold,121,29,54,132,13,25,359906,5494,11254,953
Tamil Nadu,Kharif,20582,1968,6557,95,Hybrid,215,4,Cold,112,28,55,186,19,28,382277,11611,10362,986
Maharashtra,Rabi,22218,1463,7812,94,Non-Hybrid,227,5,Cold,153,29,70,110,15,22,282592,8138,8624,1049
Uttar Pradesh,Rabi,23357,2918,6019,63,Non-Hybrid,223,4,Cold,118,28,50,181,16,20,394591,10021,11590,969
Gujarat,Rabi,18861,1522,6206,87,Hybrid,305,6,Cold,95,26,75,159,12,21,261735,10250,12227,1060
Madhya Pradesh,Kharif,20463,2206,6351,73,Hybrid,239,6,General,81,27,50,138,19,29,333977,6153,14198,900
Gujarat,Kharif,12423,2969,7204,89,Non-Hybrid,205,5,General,168,29,66,117,16,28,301720,8760,11484,1104
Tamil Nadu,Kharif,10190,1822,7574,90,Non-Hybrid,253,6,General,87,27,67,122,19,23,291723,11089,11800,938
Andhra Pradesh,Rabi,21229,1757,7014,62,Non-Hybrid,315,7,Cold,106,28,56,163,20,25,253319,9141,13195,1028
Gujarat,Kharif,18433,2820,7716,72,Non-Hybrid,205,5,Cold,144,28,50,200,17,21,367050,6856,8100,1071
Tamil Nadu,Rabi,12781,2076,7985,63,Non-Hybrid,241,5,Cold,113,28,55,164,17,23,314941,6789,10740,901
Tamil Nadu,Rabi,18740,2226,7984,90,Hybrid,296,6,General,104,27,62,130,18,26,320648,7812,12557,1069
Rajasthan,Rabi,24249,2024,8192,90,Hybrid,263,6,General,105,29,73,199,17,24,257545,9002,13273,1094
Tamil Nadu,Rabi,12675,1909,8105,69,Non-Hybrid,305,5,Cold,179,30,64,135,12,24,284795,7340,9221,932
Uttar Pradesh,Kharif,11657,2372,7550,64,Hybrid,264,6,Cold,124,27,54,142,15,28,335172,10050,13960,1047
West Bengal,Kharif,18001,2235,8082,68,Non-Hybrid,231,5,General,149,27,72,104,13,26,321599,10131,12985,1134
Tamil Nadu,Kharif,23985,1853,6044,92,Non-Hybrid,287,7,General,150,30,63,184,17,27,331852,11892,14331,1026
Punjab,Kharif,14242,2149,6342,76,Non-Hybrid,306,7,Cold,125,28,54,163,20,27,311657,7801,8109,965
Rajasthan,Rabi,10720,1241,7669,65,Hybrid,236,7,Cold,151,29,69,122,14,23,324173,11442,14687,1176
Gujarat,Kharif,21530,1945,6135,78,Non-Hybrid,279,7,General,145,25,59,172,12,28,388160,5923,14390,1067
Gujarat,Kharif,13275,2946,6927,74,Hybrid,231,4,Cold,176,29,53,115,13,21,346376,8888,9281,902
Karnataka,Kharif,18764,1481,8232,76,Non-Hybrid,206,7,Cold,99,26,54,139,13,29,322418,5361,9668,925
West Bengal,Rabi,12605,2326,7567,78,Non-Hybrid,240,4,General,97,30,57,156,18,26,291678,7172,14873,1050
West Bengal,Rabi,22458,2300,7355,84,Hybrid,221,4,Cold,102,24,62,173,15,21,310075,6255,14036,1018
Tamil Nadu,Rabi,13595,2572,7048,90,Hybrid,217,6,Cold,110,25,54,197,13,28,338211,6968,14961,1029
Punjab,Rabi,23816,2764,6907,84,Non-Hybrid,233,5,General,135,24,57,105,15,22,290965,6348,14100,976
West Bengal,Kharif,22376,2283,7904,86,Non-Hybrid,287,5,Cold,151,27,59,143,18,28,338790,6998,8692,1186
Karnataka,Rabi,21338,2763,7657,95,Non-Hybrid,262,7,General,168,24,67,143,14,24,399718,9942,14424,986
Rajasthan,Kharif,11523,2808,6329,64,Hybrid,225,4,General,164,25,63,140,13,24,344506,7539,9232,1102
West Bengal,Rabi,23080,2606,7217,78,Non-Hybrid,310,4,Cold,125,24,54,199,13,28,276722,10331,9289,988
Uttar Pradesh,Kharif,18535,2671,8182,71,Hybrid,238,4,Cold,139,27,61,194,18,22,253356,6952,11544,998
Maharashtra,Kharif,13694,1393,7670,64,Hybrid,314,5,General,142,29,70,172,15,25,384057,5339,13672,1112
Punjab,Kharif,19607,2388,8313,87,Hybrid,318,4,General,152,26,66,167,20,20,365626,9921,9883,939
Maharashtra,Kharif,12406,2144,7249,85,Hybrid,311,4,General,128,29,69,130,18,28,284933,11453,10265,1066
West Bengal,Kharif,11492,2125,8063,95,Non-Hybrid,222,6,General,149,25,61,158,14,21,275108,6762,13607,1034
West Bengal,Rabi,22694,2980,8133,86,Non-Hybrid,227,5,Cold,139,27,61,111,14,25,337358,10393,8202,1067
West Bengal,Rabi,19097,2094,6456,62,Hybrid,313,6,Cold,179,27,71,173,17,25,353883,8795,14082,1104
Punjab,Rabi,11205,2675,7100,90,Non-Hybrid,261,5,Cold,155,24,69,181,12,28,388530,10461,14572,1038
Punjab,Kharif,19948,2251,7566,72,Hybrid,269,6,General,122,26,74,127,14,26,382618,11881,10112,1024
Uttar Pradesh,Rabi,15028,1634,7588,80,Hybrid,317,7,General,92,24,69,199,16,24,369234,8651,8202,998
West Bengal,Rabi,22358,2218,7977,78,Non-Hybrid,212,5,General,105,30,64,141,16,27,305563,10484,11006,1128
Karnataka,Rabi,15723,1769,6353,83,Hybrid,222,7,Cold,89,25,61,136,16,27,327224,10172,14710,934
Karnataka,Kharif,12787,1874,7541,72,Hybrid,320,6,General,122,30,52,159,14,22,255596,7288,14127,1197
Maharashtra,Rabi,24358,2267,6927,91,Non-Hybrid,296,5,Cold,173,25,54,198,13,23,255178,11888,8203,1086
Tamil Nadu,Kharif,23354,1260,8021,94,Hybrid,201,4,Cold,134,27,75,168,17,26,339318,11116,14923,985
Punjab,Kharif,21734,1479,7446,85,Non-Hybrid,271,7,Cold,169,28,75,159,16,26,304998,11863,14931,1085
Maharashtra,Kharif,13623,2204,6471,87,Non-Hybrid,288,7,Cold,141,30,52,115,20,20,295157,11455,11212,1159
Rajasthan,Rabi,18503,2239,7947,92,Hybrid,202,7,Cold,157,24,73,109,20,25,307297,11068,8013,1124
Gujarat,Rabi,19391,1734,7005,80,Hybrid,251,4,General,178,29,59,175,12,24,367636,8550,10153,1103
Rajasthan,Kharif,12504,1529,6677,60,Hybrid,275,7,General,141,24,55,187,14,27,342943,9517,12161,1122
Maharashtra,Kharif,14731,2059,6949,68,Non-Hybrid,224,6,General,179,30,52,181,12,24,353407,10877,12178,1094
West Bengal,Kharif,23726,2155,6008,72,Hybrid,277,4,General,137,27,51,166,16,27,308899,7776,9471,1127
Karnataka,Kharif,17053,2936,6691,75,Hybrid,255,6,Cold,150,26,67,180,15,30,316242,10486,9836,1060
Andhra Pradesh,Rabi,16827,2630,7082,95,Hybrid,289,4,General,92,26,52,144,20,28,391811,5247,12470,1080
Gujarat,Rabi,16773,2003,7564,82,Non-Hybrid,247,7,General,133,25,71,132,13,28,363679,9569,12314,1119
Karnataka,Rabi,14136,1833,6069,91,Hybrid,229,7,Cold,109,24,51,178,15,30,324067,6105,13469,972
Karnataka,Kharif,15170,1564,6934,66,Non-Hybrid,262,7,General,138,28,59,179,18,25,349312,6874,14679,1187
Maharashtra,Kharif,15669,2029,6818,68,Non-Hybrid,237,4,Cold,87,29,62,106,14,20,323011,9857,14294,1137
Uttar Pradesh,Rabi,14307,1516,7473,64,Hybrid,266,7,General,148,26,53,120,16,27,314430,10119,10821,1117
Uttar Pradesh,Kharif,13657,1809,7804,95,Non-Hybrid,271,6,General,120,24,63,142,14,23,323983,6853,14273,1151
Punjab,Rabi,11986,2777,6486,75,Non-Hybrid,215,5,Cold,174,24,63,109,17,30,327471,8676,10859,935
Punjab,Kharif,13230,2508,6185,79,Hybrid,313,6,General,124,29,65,104,18,21,331003,9399,14243,1053
Uttar Pradesh,Rabi,16075,2790,6795,68,Non-Hybrid,245,6,Cold,144,27,62,161,19,30,277551,6300,13305,1070
Punjab,Rabi,11627,1336,7865,69,Non-Hybrid,305,6,Cold,98,27,54,189,12,30,271948,8690,10846,1170
Maharashtra,Rabi,19966,2866,6915,90,Non-Hybrid,306,5,Cold,120,25,72,159,12,23,347776,6553,12009,1027
Andhra Pradesh,Kharif,13772,1714,8329,64,Hybrid,248,7,Cold,103,29,65,125,12,23,316420,11725,11508,1107
Andhra Pradesh,Rabi,21728,2426,6625,79,Hybrid,249,7,Cold,156,27,60,167,17,21,324271,11918,9455,990
West Bengal,Kharif,19271,1527,6215,65,Non-Hybrid,226,5,Cold,101,27,60,170,15,20,383837,9819,11748,1043
Madhya Pradesh,Rabi,19679,2569,6950,69,Non-Hybrid,312,6,Cold,175,30,70,191,17,24,389983,10119,13878,1124
Uttar Pradesh,Kharif,14446,2218,7753,86,Non-Hybrid,253,6,Cold,149,28,67,179,19,21,347393,7548,11476,925
Tamil Nadu,Kharif,16171,2618,7431,85,Hybrid,260,7,General,157,26,59,100,13,28,316320,9643,9128,1062
Punjab,Rabi,12380,2195,6162,62,Hybrid,211,5,General,96,27,72,184,17,26,395972,9064,9953,972
Karnataka,Rabi,18087,1207,8078,92,Hybrid,204,7,Cold,127,24,65,138,19,27,275582,5144,11507,1084
Tamil Nadu,Kharif,17933,2683,7082,95,Hybrid,280,6,General,131,24,56,123,18,22,270970,9434,14702,1077
Maharashtra,Rabi,15369,2771,7185,94,Hybrid,211,7,Cold,102,27,65,125,14,24,318121,9157,9926,936
Andhra Pradesh,Kharif,22171,1703,6785,66,Non-Hybrid,200,4,General,104,30,53,182,17,26,392768,8838,9337,1138
Tamil Nadu,Kharif,23074,1479,7948,90,Hybrid,280,6,Cold,99,30,63,177,17,20,305609,11714,12878,1087
Andhra Pradesh,Kharif,18066,2730,7787,71,Non-Hybrid,248,6,General,101,24,59,200,16,25,296517,8727,14453,1148
Tamil Nadu,Kharif,20698,2132,8319,60,Non-Hybrid,298,5,General,127,28,66,147,20,26,389310,7358,12471,1089
Tamil Nadu,Kharif,21629,2282,8197,68,Non-Hybrid,242,7,General,139,24,71,169,14,20,392013,5920,14317,1120
Tamil Nadu,Kharif,18463,2006,6642,73,Hybrid,242,6,Cold,96,28,59,107,16,27,262111,5559,11688,1123
Gujarat,Rabi,23844,2820,7912,71,Hybrid,277,5,Cold,174,25,56,142,20,26,374211,5309,13789,1187
Karnataka,Kharif,14764,1884,7499,60,Hybrid,229,6,Cold,143,27,62,124,12,26,334731,11309,12774,910
Madhya Pradesh,Rabi,16167,1908,6540,77,Hybrid,233,5,General,180,24,64,110,15,20,328824,9981,8361,1044
Maharashtra,Rabi,16390,2095,6876,77,Non-Hybrid,201,5,General,104,25,74,115,13,24,275960,10749,9667,1018
Maharashtra,Rabi,14552,1853,7011,93,Hybrid,289,6,General,166,26,63,102,15,27,251877,9175,9719,968
Karnataka,Kharif,21116,2515,7491,78,Hybrid,310,5,Cold,147,30,71,187,13,25,397394,6520,13419,1034
Gujarat,Rabi,22190,2345,6334,63,Hybrid,205,4,Cold,156,24,55,141,20,27,305088,9690,14377,903
Karnataka,Rabi,21565,1825,6490,83,Non-Hybrid,265,6,Cold,138,28,50,103,16,24,390703,10134,8049,1014
Madhya Pradesh,Kharif,14075,1605,7597,76,Hybrid,306,5,General,161,30,55,158,18,28,338532,10877,12174,902
Karnataka,Kharif,22021,2207,7608,80,Non-Hybrid,287,4,General,160,26,51,112,13,25,389218,10232,9748,977
West Bengal,Kharif,19901,2725,6649,70,Hybrid,286,6,General,130,25,58,114,13,21,367573,7009,10760,1059
Madhya Pradesh,Kharif,13186,2429,7041,73,Hybrid,203,5,General,101,30,52,176,12,26,255066,5833,12997,1060
Punjab,Rabi,11731,2549,7083,88,Non-Hybrid,274,5,General,125,26,52,182,15,21,324370,7832,9519,919
Maharashtra,Rabi,17731,2512,6468,69,Hybrid,302,6,General,113,28,70,126,13,23,283245,6859,12340,908
West Bengal,Rabi,14175,2252,7964,64,Non-Hybrid,320,4,General,96,24,60,154,18,26,267159,7661,8985,1188
Maharashtra,Kharif,21486,2945,7872,77,Non-Hybrid,208,4,General,170,27,67,160,13,27,308143,10259,14136,1053
Punjab,Rabi,13097,2823,6729,95,Non-Hybrid,318,4,Cold,112,29,57,182,18,29,361859,10748,11643,1028
Andhra Pradesh,Rabi,19128,1218,6124,73,Non-Hybrid,214,7,General,112,26,69,138,16,23,351236,11342,11301,1099
Madhya Pradesh,Rabi,12032,2765,6369,70,Non-Hybrid,227,7,General,139,29,75,146,14,21,341756,10482,12194,1125
Rajasthan,Kharif,17447,1872,7044,75,Non-Hybrid,315,6,Cold,176,24,50,152,16,30,367586,6031,13612,930
Tamil Nadu,Rabi,15448,2166,6980,74,Non-Hybrid,292,7,Cold,130,30,74,193,12,24,328273,10420,9615,1095
Tamil Nadu,Rabi,17415,2183,7713,72,Hybrid,306,5,General,97,30,67,141,14,28,290167,7466,9052,941
Rajasthan,Kharif,20354,1641,6542,79,Non-Hybrid,229,6,Cold,162,30,73,156,20,20,279060,11941,13977,1028
Karnataka,Rabi,22380,1352,8128,60,Non-Hybrid,263,5,General,104,28,68,135,16,30,334177,9916,13487,1055
Karnataka,Rabi,24035,2028,6662,84,Hybrid,303,7,General,131,27,64,173,12,27,389409,9136,9871,990
Madhya Pradesh,Kharif,18472,2737,6411,74,Non-Hybrid,282,6,Cold,159,25,68,164,13,25,274900,10746,9706,1046
Tamil Nadu,Kharif,24379,2844,8096,90,Non-Hybrid,288,7,Cold,108,27,72,177,12,21,387908,7027,14856,901
Andhra Pradesh,Rabi,23774,2744,7744,65,Non-Hybrid,320,4,General,144,27,61,174,20,24,329358,6184,10157,1069
Madhya Pradesh,Rabi,13450,2473,7301,76,Non-Hybrid,296,6,Cold,152,24,59,187,15,22,268059,9785,9952,933
Punjab,Kharif,19487,1606,7505,82,Hybrid,314,7,General,94,27,68,108,20,24,253688,8240,10784,1199
Gujarat,Kharif,19870,1363,6293,76,Non-Hybrid,298,4,General,111,29,58,200,20,29,261850,11573,10739,998
Madhya Pradesh,Rabi,20514,2850,8217,82,Hybrid,311,5,General,153,25,66,146,12,23,357161,7356,10737,1092
Uttar Pradesh,Rabi,21111,1271,6829,64,Non-Hybrid,305,6,General,103,27,52,171,12,23,297888,6254,10059,988
Punjab,Kharif,14294,2839,7432,92,Hybrid,242,6,General,149,27,50,155,18,26,380856,7896,14949,979
Madhya Pradesh,Rabi,10755,2732,8261,75,Hybrid,286,7,Cold,168,24,62,153,16,28,319438,5642,10366,1095
Andhra Pradesh,Rabi,15695,2283,6892,79,Hybrid,269,6,Cold,179,27,54,145,19,26,267662,11397,11264,947
Madhya Pradesh,Rabi,11903,1558,6486,87,Non-Hybrid,300,7,General,93,26,74,196,15,24,289284,9444,12752,1087
Gujarat,Rabi,16191,1732,7199,77,Hybrid,289,6,Cold,154,24,71,125,12,24,271954,11640,9126,990
Punjab,Rabi,15068,1680,6083,61,Non-Hybrid,311,6,Cold,84,25,61,179,13,30,258184,11585,11944,1118
Rajasthan,Rabi,10851,2443,8181,87,Hybrid,203,5,General,109,24,71,191,18,25,311323,11969,9633,1178
Maharashtra,Rabi,17075,2001,6713,92,Hybrid,273,6,General,141,24,56,182,14,27,275093,7193,10556,1032
Karnataka,Rabi,14023,2889,7369,92,Non-Hybrid,264,7,General,120,24,55,129,14,25,276773,11864,14496,1069
West Bengal,Kharif,16450,1830,7452,95,Non-Hybrid,275,5,Cold,114,29,62,130,18,30,276179,11815,12096,1073
Andhra Pradesh,Rabi,16781,1600,6063,62,Hybrid,265,6,General,122,28,72,194,12,28,357401,6113,14702,1093
Gujarat,Rabi,17234,2040,7634,62,Hybrid,318,7,Cold,159,28,68,158,14,26,288930,5348,11881,1039
Punjab,Kharif,11019,2746,8168,90,Hybrid,225,7,Cold,118,30,71,106,15,26,362622,7840,8107,919
Rajasthan,Kharif,12319,2066,8215,75,Non-Hybrid,229,7,Cold,85,28,75,107,13,21,373275,10666,13678,1041
Andhra Pradesh,Kharif,10999,2960,6386,89,Hybrid,237,5,Cold,112,29,55,131,13,25,346558,10759,13965,1175
Gujarat,Rabi,10104,1972,6112,95,Non-Hybrid,216,7,General,88,24,52,148,13,27,396457,6198,11406,932
Tamil Nadu,Rabi,18943,1230,8221,66,Hybrid,230,4,Cold,170,27,61,111,12,27,355173,7889,13930,1107
Karnataka,Kharif,16514,2048,8122,75,Hybrid,235,4,Cold,163,24,73,130,16,27,331870,11049,9376,910
Tamil Nadu,Kharif,12948,2570,6374,64,Non-Hybrid,210,5,General,171,25,74,161,19,25,362982,6165,12638,954
Karnataka,Rabi,14423,2105,7906,77,Non-Hybrid,285,5,General,125,25,62,118,15,30,269581,11329,8054,953
Maharashtra,Kharif,22769,2141,7611,94,Non-Hybrid,224,5,Cold,109,30,51,106,16,28,346218,5640,9657,1140
Maharashtra,Kharif,21428,1732,6698,71,Hybrid,270,5,General,89,25,67,122,16,22,387550,5344,13116,953
West Bengal,Rabi,24953,1268,6023,92,Non-Hybrid,285,7,General,84,25,64,122,14,25,336884,6888,9637,1134
Uttar Pradesh,Rabi,22981,2285,6390,84,Hybrid,255,6,Cold,137,24,67,105,16,27,306421,7198,9812,1197
Uttar Pradesh,Kharif,16548,1389,6770,75,Non-Hybrid,317,5,Cold,161,30,65,161,16,24,366738,11028,9649,1101
Karnataka,Kharif,20994,1739,7391,92,Hybrid,292,7,Cold,113,28,57,198,16,26,302535,9566,14795,1118
Andhra Pradesh,Kharif,17920,1229,7125,61,Non-Hybrid,294,6,Cold,111,29,71,186,13,21,357800,10934,13979,1127
Gujarat,Rabi,12725,2718,7165,66,Hybrid,200,7,Cold,88,25,65,158,15,20,380783,5995,14800,1130
Punjab,Kharif,17729,1985,6785,89,Non-Hybrid,211,6,Cold,97,30,66,182,16,30,351368,8344,10610,903
Rajasthan,Rabi,14819,1257,6958,63,Hybrid,213,4,Cold,165,29,61,120,18,29,318319,11306,8998,964
West Bengal,Rabi,11715,1822,6381,76,Hybrid,276,7,General,163,28,59,112,15,30,308023,11018,14561,1039
Gujarat,Rabi,13788,1769,6549,71,Non-Hybrid,215,6,Cold,94,27,52,159,15,20,276421,8385,12806,1129
West Bengal,Kharif,18729,1849,6595,82,Hybrid,285,6,General,85,30,52,186,20,24,288192,5027,12130,1132
Uttar Pradesh,Rabi,12619,1371,7827,76,Non-Hybrid,290,4,General,108,24,59,104,18,28,252866,11229,10550,993
Rajasthan,Kharif,22512,2442,6196,70,Hybrid,295,6,General,146,26,71,138,16,20,329887,8286,13329,1097
Andhra Pradesh,Kharif,22793,1240,6706,64,Hybrid,226,7,General,162,30,58,183,19,29,377607,8880,10627,1035
Tamil Nadu,Kharif,10938,2346,6710,77,Non-Hybrid,277,6,Cold,109,30,70,163,19,21,331226,6059,8346,1163
Andhra Pradesh,Rabi,22487,1369,7740,89,Hybrid,235,4,Cold,106,26,68,178,15,30,341159,6424,8756,928
Gujarat,Kharif,14476,2054,7334,69,Non-Hybrid,300,5,Cold,81,26,70,183,14,24,295112,10457,9183,985
Andhra Pradesh,Kharif,22830,1714,7011,71,Hybrid,287,7,Cold,82,29,73,149,13,26,323007,8627,13559,958
Rajasthan,Kharif,13993,2578,6744,91,Hybrid,241,4,Cold,109,30,73,200,12,22,284271,5029,12321,964
Madhya Pradesh,Rabi,12808,2687,6554,71,Hybrid,233,7,Cold,96,30,67,182,19,22,392563,6960,14924,1083
Rajasthan,Rabi,16504,2622,7257,65,Hybrid,204,7,General,180,26,51,112,17,20,268443,8543,14674,1144
West Bengal,Kharif,24528,2105,7418,79,Non-Hybrid,256,5,General,155,30,63,198,12,23,350259,10498,14717,1024
Tamil Nadu,Rabi,19586,1544,7534,66,Hybrid,264,7,General,101,26,56,189,12,27,374326,11990,13015,1092
Maharashtra,Kharif,12630,2238,7396,92,Hybrid,202,4,General,176,30,63,149,17,26,317693,7979,14978,964
